名前,本文,マップ,階層,キャラ（ミカベル）,キャラ２（アズフレイア）,ミカ段階,服装,分類１,分類２,その他,説明,,,,マップ,階層,キャラ,キャラ２,ミカ段階,,分類,その他,説明
酒場エロイベ11,":name[ミカ,Actor1]\M[ミカ不満]
「……っは！？あ、あれ…私バイトしてたはずじゃ…！？
うぐぐ…あ、頭痛いぃ…」
:name[店主,Actor1]
「おっ、起きたかいミカちゃん
飲み過ぎで急に倒れちゃったんだよ。いやぁ焦った焦った…」
:name[ミカ,Actor1]\M[ミカ驚き]
「へっ？そ、そうですか…すいませ…うぇっ…？
な、なんか変なニオイ…？」
:name[店主,Actor1]「あ、ああ、ちょっと吐いちゃってたからソレじゃない？
はいお水！あ、あと今日のお給料ね。
今日はもうあがっていいからさ！またよろしく頼むよ！」
:name[ミカ,Actor1]\M[ミカ引き笑い]「あ、ありがとうございます…！うう…」
:name[ミカ,Actor1]\M[ミカ疑問]（や、やっぱりまだ気持ち悪ぅ…
それに変な匂いって、吐いたのとはちょっと違うような…？）
",,,,,,,,,,,,,,,,,,,,,,
酒場エロイベ11負け,":name[ミカ,Actor1]\M[ミカ不満]
「……っは！？あ、あれ…私バイトしてたはずじゃ…！？
うぐぐ…あ、頭痛いぃ…」
:name[店主,Actor1]
「おっ、起きたかいミカちゃん
飲み過ぎで急に倒れちゃったんだよ。いやぁ焦った焦った…」
:name[店主C,Actor1]（あんまりにも勢いよく倒れるから、
ついついホンキで心配しちゃったよ…
おかげでせっかくの機会を…くそう…）
:name[ミカ,Actor1]\M[ミカ驚き]
「へっ？そ、そうですか…すいませ…うぇっ…？
あ、頭痛ぁ……!」
:name[店主,Actor1]
「飲みすぎてたからねぁ…はいお水！あ、あと今日のお給料ね。
今日はもうあがっていいからさ！またよろしく頼むよ！」
:name[ミカ,Actor1]\M[ミカ引き笑い]「あ、ありがとうございます…！うう…」
:name[ミカ,Actor1]\M[ミカ疑問]（や、やっぱりまだ気持ち悪ぅ…
こ、今度はもうちょっと気をつけよう…）
",,,,,,,,,,,,,,,,,,,,,,
酒場エロイベ中店主,":name[店主C,Actor1]
「さぁ！お客さんたちから注文を聞いたり
料理を持っていったりしてくれよ！」",,,,,,,,,,,,,,,,,,,,,,
酒場エロイベ中出口,"\M[ミカ不満]:name[ミカ,Actor1]
「流石にバイト中に無断で帰るのはなぁ…
面倒だけどちゃんと働いてからにしよっと…！」",,,,,,,,,,,,,,,,,,,,,,
酒場普段NPC1,":name[酔っ払い,Actor1]
「かぁ～っ…！っぱ酒は昼間から飲むに限るぜ！
なぁ！嬢ちゃんもそう思うだろ！？」
:name[ミカ,Actor1]\M[ミカ引き笑い]
「あ、あはは…そうですかね…」",,,,,,,,,,,,,,,,,,,,,,
酒場普段NPC2,":name[酔っ払い,Actor1]「酒は飲んでも飲まれるなって言うけどよぉ
それにわかりましたって返せるやつぁ
そもそも大して酒なんて飲んでねえと思うんだよなぁ…」",,,,,,,,,,,,,,,,,,,,,,
酒場エロイベやり直し1,":name[店主,Actor1]
「おっ！ミカちゃんじゃないか！
実は今ちょっと人手が足りなくてね
できれば手伝いをお願いしたいんだけど…」
",,,,,,,,,,,,,,,,,,,,,,
街トイレ昼間1,":name[青年,Actor1]
「経費削減だかなんだか知らないけど、
小便器も大便器も全部一緒にはしないでほしかったなぁ
おかげでいっつも満室で困っちゃうよ」
:name[青年,Actor1]
「おまけに人の目が届きにくくなったせいか、夜になれば変なやつらが
良からぬことに使ってたりするし…天使さんも嫌な目に会いたくなければ、
夜のトイレは自宅で済ませるのをオススメするよ」
\M[ミカ引き笑い]:name[ミカ,Actor1]
「ご、ご忠告どうも…」
\M[ミカ引き笑い]:name[ミカ,Actor1]
（初対面の、それも異性相手によくトイレの話なんてできるなぁ…）",,,,,,,,,,,,,,,,,,,,,,
街トイレ壺,"\M[ミカ不満]:name[ミカ,Actor1]
「きったな…！いくらゴミ箱だっていっても
もうちょっとマシな使い方しようよ…」
",,,,,,,,,,,,,,,,,,,,,,
衛兵詰所兵士1の1,":name[衛兵,Actor1]
「おや、天使様ですな！こんなむさ苦しいところまでご苦労さまです！」
\M[ミカ驚き]:name[ミカ,Actor1]
「ふえっ！？あ、お、お疲れ様です…？」
:name[衛兵,Actor1]
「ここ最近、妙に街中が浮ついているというか、少し治安が悪化しているのですが…
そこは我々衛兵団が一層の努力で取り締まりますのでご心配なく！
天使様はどうぞ我々にはできない方法での手助けをお願いしますよ！」
\M[ミカ引き笑い]:name[ミカ,Actor1]
「あ、あはは…頑張ります…」
\M[ミカ引き笑い]:name[ミカ,Actor1]
（た、たま～にいるんだよね…天使をすっごい立派ななにかだと思ってるタイプの人…
いやまぁそういう天使もいるけど、私はまだまだ見習いだし
あんまり期待されると重圧が…うぅ～…）",,,,,,,,,,,,,,,,,,,,,,
衛兵詰所兵士1の2,":name[衛兵,Actor1]
「最近あまりにも性犯罪が多いので、
いっそ無罪にしてしまおうかという話が上がっておりましてな
近日中に法案が通りそうなのです」
:name[衛兵,Actor1]
「これが通れば我々もより重大な犯罪に集中できますし、
レイプ犯なども釈放できるので刑務所の維持費も激減！
いやぁ可決される日が待ち遠しいですな！」
\M[ミカ引き笑い]:name[ミカ,Actor1]
「そ、そうですねっ…♡」",,,,,,,,,,,,,,,,,,,,,,
衛兵詰所兵士2の1,":name[衛兵,Actor1]
「いくら治安を守るためとはいえ、砂漠の街で鉄の鎧ってのは勘弁してほしいぜ
暑いわ蒸れるわで…あー金玉が痒ぃ…」
\M[ミカ恥]:name[ミカ,Actor1]
（いやまぁ男所帯だしそういう警戒心がないのはわかるけどさぁ…
だからって目の前でその…股間を掻かれると
流石に目のやり場に困るというか…）",,,,,,,,,,,,,,,,,,,,,,
衛兵詰所兵士2の2,":name[衛兵,Actor1]
「いくら治安を守るためとはいえ、砂漠の街で鉄の鎧ってのは勘弁してほしいぜ
暑いわ蒸れるわで…あー金玉が痒ぃ…」
\M[ミカ発情]:name[ミカ,Actor1]
「そ、そういうことならぁ…♡
わ、私が綺麗にお掃除させていただきますっ…♡♡」",,,,,,,,,,,,,,,,,,,,,,
衛兵詰所兵士2の3,":name[衛兵,Actor1]
「ふぅ…いくらかマシになったぜ…！
ありがとよ天使さん！金玉が蒸れたらまた頼むわ！」
\M[ミカ発情]:name[ミカ,Actor1]
「うぇ゛…♡♡♡ど、どういたしましてっ♡♡
ま、またいつでも金玉掃除に呼びつけて下さいっ…♡♡」",,,,,,,,,,,,,,,,,,,,,,
銭湯垢舐め1,":name[垢舐め,Actor1]
「ん…ああ、お客さん…
いらっしゃい。男湯は手前、女湯は奥だから
どっちでも好きな方、入って」
\M[ミカ呆れ]:name[ミカ,Actor1]
「いや…男湯に入るわけ無いじゃん…
ってかそれ、もしかして男の人にも言ってたりする？
それだったら流石に入る気にならないんだけど…」
:name[垢舐め,Actor1]
「そう？お姉さん、色々と言い訳しながら男湯に入りそうな気配がある。
…なんとなくだけど。あと、男の人は男湯限定。当たり前だけどね。
どっちでもいいのは若い女の人だけ、だから」
\M[ミカ引き]:name[ミカ,Actor1]
（どんな気配なんだか…なんか変な娘だなぁ…
よく見ると服装とかも変わってる…し…？）
\M[ミカ驚き]:name[ミカ,Actor1]
「い、いや…！お、思いっきり乳首が見えちゃってるじゃん…！？
えっ…？き、気付いてない…ワケないよね！？
な、なんで直さないの！？」
:name[垢舐め,Actor1]
「ん…？ああ、この着物、元々布が少ない、から
そもそも胸とか…股のあたりとか、ちゃんと隠れない
ま、見られても別に良い。減るようなものでも無いし」
\M[ミカ呆れ]:name[ミカ,Actor1]
「え、えぇ…？まぁ本人が良いって言うなら良いのかもしれないけどさぁ…」
:name[垢舐め,Actor1]
「そ、問題ない。…で、お風呂、入らないの？
入らないなら…ま、それでも良いか。追い返す理由もないし」
\M[ミカ驚き]:name[ミカ,Actor1]
「あ、は、入る入る…！すぐ入る！」
\M[ミカ引き笑い]:name[ミカ,Actor1]
（う～ん…やっぱり変わった女の子だなぁ…）",,,,,,,,,,,,,,,,,,,,,,
銭湯垢舐め1の2,"\M[ミカ疑問]:name[ミカ,Actor1]
「その格好ってさ、露出の多さにも目が行くけど…
もしかして東の方にあるっていう国のデザイン？」
:name[垢舐め,Actor1]
「ん…？ああ、違う。そうじゃない…確かに似てるけど。
私はたまたまこっちの世界にきた。
……なんだっけ、異世界人…？とかいうやつ」
\M[ミカ驚き]:name[ミカ,Actor1]
「異世界…ええっ…！？い、異世界…！？た、確かにそういうことが
あるとは聞いたことがあるけど…へぇ～っ…は、初めて見た…
ってことはその服装って、異世界の恰好なんだ…」
:name[垢舐め,Actor1]
「ん、それもちょっと…間違ってはないけどちょっと違う
私のいた世界じゃ、今日日こんな格好してる人間なんていない。
いたら露出狂か…うん、露出狂。警察に捕まるね」
:name[垢舐め,Actor1]
「私は元々妖怪…この世界でいう魔族…？みたいな存在。
だからこう見えて数百年は生きてる。
この格好は、私が生まれた時代の格好」
\M[ミカ呆れ]:name[ミカ,Actor1]
「へ…？じゃ、じゃあええっと…えぇ…
い、異世界から来た…凄い寿命の長い異種族…？
ええ…あ、頭がこんがらがってきた…！」",,,,,,,,,,,,,,,,,,,,,,
銭湯垢舐め2,"\M[ミカ疑問]:name[ミカ,Actor1]
「そういえば垢舐めちゃん…いや垢舐めさん…？はなんでこっちの世界に？
異世界転生ってそんな簡単にできることじゃない…よね？
詳しくないからよくわかんないけど…」
:name[垢舐め,Actor1]
「別に…自分から来たわけじゃない。巻き込まれた
……まったく…お兄さんが「サキュバスを呼ぶ」とかいい出して
ネットで見かけた変な儀式なんかするから…」
\M[ミカ引き笑い]:name[ミカ,Actor1]
「あはは…それはなんというか…
っていうかお兄さんがいるんだ…じゃあ今はその人と暮らしてるの？」
:name[垢舐め,Actor1]
「冗談はやめて。お兄さんって呼んでるだけで赤の他人
まぁ…一緒には住んでるけど。私の貴重な食料…
……兼、不愉快だけど、唯一の知り合い、だから」
\M[ミカ驚き]:name[ミカ,Actor1]
「しょくりょ…ええっ…！？た、食べるの…！？に、人間を…！？
それじゃあ魔族というより普通に魔物じゃん…！」
:name[垢舐め,Actor1]
「いや、私が食べるのは人間じゃなくてその老廃物…
ま、いいや、説明めんどくさいし…」",,,,,,,,,,,,,,,,,,,,,,
銭湯垢舐め3,"\M[ミカ疑問]:name[ミカ,Actor1]
「一緒に住んでるお兄さん…というか男の人がいるんでしょ？
その人は普段何してるの？」
:name[垢舐め,Actor1]
「……？まさかお兄さんのこと狙ってるの…？
……悪いことはいわないから止めた方がいい。絶対
あんなのに手をだすなんて正気じゃない」
\M[ミカ恥怒り]:name[ミカ,Actor1]
「そういうのじゃないって…！ほら、実年齢はともかく、
垢舐めちゃんって子供の見た目でしょ？
それを働かせるなんてどうなのかなぁって…」
:name[垢舐め,Actor1]
「ああ、そういうこと。当然、お兄さんにも働いてもらってる
キっつい工事現場で朝から晩まで肉体労働。
おかげで毎日鼻がひん曲がりそうなくらい臭っさくて…」
\M[ミカ引き笑い]:name[ミカ,Actor1]
「ああ…そういえばそういうのを食べる妖怪なんだっけ…
あれ、でもそういうことなら垢舐めちゃんは働かなくても…」
:name[垢舐め,Actor1]
「家でずっと引きこもってるのも暇…だし…
それに、きったなぁいお兄さんからの採れたてのモノには劣るけど
ここの湯船とか、お風呂に来たおじさんたちとかのも、それなりにイケるから」
\M[ミカ引き笑い]:name[ミカ,Actor1]
「なるほど…趣味と実益を兼ねた仕事なのね…」",,,,,,,,,,,,,,,,,,,,,,
銭湯垢舐め4,":name[垢舐め,Actor1]
「……なんか最近、街中の雰囲気がちょっと変わった…
淫気に満ち溢れてるというか…やたらと皆興奮してる」
\M[ミカ引き笑い]:name[ミカ,Actor1]
「あ、あー…？まぁ確かに？そう言われるとそんな気も…」
:name[垢舐め,Actor1]
「別に、隠さなくてもいい。お姉さんの仕業なの、なんとなく解ってた
…それに、そのお陰でお兄さんが毎日猿みたいにオナニーしてるから
チンカスとかも溜まりやすくて結構助かる」
\M[ミカ発情]:name[ミカ,Actor1]
「あ、そ、そう…？なら良かった…
っていうかチンカスってやっぱり良いよね…♡
不味いは不味いんだけど、お腹のあたりがぎゅーっってなる不味さっていうかさぁ…」
:name[垢舐め,Actor1]
「…いや、私はあくまでもそういう種族だから舐め取ってるだけで、
お姉さんみたいな変態さんじゃない、から…」
\M[ミカ怒り]:name[ミカ,Actor1]
「きゅ、急にはしごを外された…！」",,,,,,,,,,,,,,,,,,,,,,
銭湯男湯警告1,":name[垢舐め,Actor1]
「ん、そっちは男湯だけど…
まぁ、入りたいのなら、止めない。責任も取らないけどね」
\M[ミカ驚き]:name[ミカ,Actor1]
「へっ！？う、うわっ…！？あっぶなぁ！間違えるところだった…！
あ、ありがとう…」",,,,,,,,,,,,,,,,,,,,,,
銭湯女湯モブ1の1,":name[女性,Actor1]
「ふぅ…家のお風呂も落ち着くけど、たまにはこうして
足を伸ばせる大浴場に入るのもいいわねぇ」
:name[女性,Actor1]
「ただ…ここのお風呂、たまに覗きが出るらしいのよ
まぁ見られたからなにかあるってわけじゃないけど
ちょっと気持ち悪いわよねぇ…」
\M[ミカ引き笑い]:name[ミカ,Actor1]
（覗かれるのをちょっと気持ち悪いで済ましちゃうの
肝が座ってるというかなんというか…）",,,,,,,,,,,,,,,,,,,,,,
銭湯女湯モブ2の1,":name[少女,Actor1]
「こういうところにくると、どうしても他の人と体つきを比べちゃわない？
ううっ…おっぱいは大きいし肌はすべすべだし…
アナタのことがちょっぴり羨ましいわ…」
\M[ミカ恥]:name[ミカ,Actor1]
「あの…だからってそうジロジロ見られると恥ずかしいんですけど…」",,,,,,,,,,,,,,,,,,,,,,
銭湯女湯モブ2の2,":name[少女,Actor1]
「こういうところにくると、どうしても他の人と体つきを比べちゃわない？
あーあ…私も早くお姉さんみたいな
デカクリデカ乳輪の下品な体になりたいなぁ…」
\M[ミカ恥]:name[ミカ,Actor1]
「にゅ、乳輪はともかく、クリトリスはそんなに大きくないと思うんですけど…
…えっ…おっきいの…？マジで…？」",,,,,,,,,,,,,,,,,,,,,,
銭湯女湯モブ1の2,":name[女性,Actor1]
「最近たまに男の人が女湯に入ってくるのよ…
しかも間違えたとかなんとかいいつつ全然出ていかないの！
全く…眼の前でおちんぽ見せつけられる身にもなって欲しいわ！」
:name[女性,Actor1]
「ふふっ♡だから次に入ってきたら、
いっそ押し倒してレイプしちゃおうかなって考えてるのよね♡
ああもうっ…♡考えただけで興奮してきちゃった…♡♡」
\M[ミカ引き笑い]:name[ミカ,Actor1]
（まぁ私達が男湯に入ったらまず犯されるもんね…
そりゃあやり返さなきゃ不公平だって…♡）",,,,,,,,,,,,,,,,,,,,,,
銭湯男湯モブ1の1,":name[老人,Actor1]
「うーむ…おなごが見えるのぉ…？
……いよいよワシもボケてきたか…？」
\M[ミカ恥]:name[ミカ,Actor1]
「ううっ…ご、ごめんなさい…！
私が女湯に勝手に入ってるだけです…」",,,,,,,,,,,,,,,,,,,,,,
銭湯男湯モブ1の2,":name[老人,Actor1]
「おや、嬢ちゃんもヤりに来たのかの？
しかしワシは激しい運動を医者に止められていてなぁ…
フェラでもいいならチンポを貸してやるが…どうじゃ？」
\M[ミカ発情]:name[ミカ,Actor1]
「あ、ありがとうございますぅっ♡♡
誠心誠意おちんぽ様をお口で磨かせて頂きまぁす♡♡」",,,,,,,,,,,,,,,,,,,,,,
銭湯男湯モブ1の3,":name[老人,Actor1]
「ふぅ…スッキリしたのぉ…
いやはや、風呂に入るだけでおなごに下の世話までやってもらえるとは
この街は天国みたいなもんじゃわい…！」
\M[ミカ発情]:name[ミカ,Actor1]
「うぷっ…♡♡あ、ありがとうございましたぁっ…♡
チンカスごちそうさまでしたぁっ…♡♡」",,,,,,,,,,,,,,,,,,,,,,
銭湯男湯モブ2の1,":name[男性,Actor1]
「うぉっ…！？お、女の子っ…！？
あ、アレ…！？もしかして俺入る方を間違えて…
あ、あれぇっ…！？」
\M[ミカ恥]:name[ミカ,Actor1]
「ううっ…ご、ごめんなさい…！
私が女湯に勝手に入ってるだけです…」",,,,,,,,,,,,,,,,,,,,,,
銭湯男湯モブ2の2,":name[男性,Actor1]
「ん…？ああなんだ女の子か…
最近増えたよねぇ…犯してもらいに男湯に入ってくる娘
君もその口でしょ？」
\M[ミカ恥]:name[ミカ,Actor1]
「あ、あはは…バレました…？まぁそのぉ…♡♡
ちょ、ちょっとムラムラが抑えきれなくてぇ…♡」
:name[男性,Actor1]
「馬鹿みたいにマンコから愛液垂れ流しといて
「バレました」もなにもないでしょ…
ま、いいや！犯してあげるよ」",,,,,,,,,,,,,,,,,,,,,,
銭湯男湯モブ2の3,":name[男性,Actor1]
「ふぃぃ～…射精した射精した…！
しっかし最近ずっとこれだもんなぁ…
風呂でリラックスしたいのに、これじゃあ大して休まらないよ…」
\M[ミカイキ顔2]:name[ミカ,Actor1]
「おっ゛♡♡♡ひぃっ…♡♡
あご、ごめんなしゃひぃい……♡♡♡」",,,,,,,,,,,,,,,,,,,,,,
スラム前テント1の1,":name[作業員,Actor1]
「すぐそこの発掘現場で働いてんだがよ、募集のときは衣食住完備っつっといて、
実際あてがわれた寮とやらはこのオンボロテントだぜ
全くもってやってらんねえよなぁ」
:name[作業員,Actor1]
「まぁ飯は炊事の姉ちゃんの腕が良いからかそこそこ美味ぇし、
風呂だって公衆浴場を好きに使わせて貰えるから、
そこまで不満があるわけじゃないんだが…」
\M[ミカ疑問]:name[ミカ,Actor1]
「だが？」
:name[作業員,Actor1]
「問題はよぉ…こうしてむさ苦しい野郎に囲まれてちゃ、
おちおちチンコもしごけねえことなんだよ
おかげで溜まって溜まって仕方ねえ…ってことで天使さん…」
\M[ミカ恥]:name[ミカ,Actor1]
「……まぁ…言いたいことはわかるけど…
それでハイ分かりました！とか言うわけないよね？
はぁ…一体どういう神経してたらそんな提案ができるんだか…」
:name[作業員,Actor1]
「まぁそりゃそうか。だったら仕方ねえから…おらっ！」",,,,,,,,,,,,,,,,,,,,,,
スラム前テント1の2,"\M[ミカ驚き]:name[ミカ,Actor1]
「うわっ…！？わっ…あ…あぁ…？」
\M[ミカ発情]:name[ミカ,Actor1]
「う…ん…？ふぅ～……？？ふっ…ふぅぅっ…？」
:name[作業員,Actor1]
「へへへ、どうだ？理性隔離ストーンのお味はよ
発掘現場じゃ時たまこういうマジックアイテムが見つかるのさ
意識の無い所悪いが、ちょっと楽しませてもらうぜ…！」",,,,,,,,,,,,,,,,,,,,,,
スラム前テント4の1,":name[作業員,Actor1]
「すぐそこの発掘現場で働いてんだがよ、募集のときは衣食住完備っつっといて、
実際あてがわれた寮とやらはこのオンボロテントだぜ
全くもってやってらんねえよなぁ」
:name[作業員,Actor1]
「まぁ飯は炊事の姉ちゃんの腕が良いからかそこそこ美味ぇし、
風呂だって公衆浴場を好きに使わせて貰えるから、
そこまで不満があるわけじゃないんだが…」
\M[ミカ疑問]:name[ミカ,Actor1]
「だが？」
:name[作業員,Actor1]
「問題はよぉ…こうしてむさ苦しい野郎に囲まれてちゃ、
おちおちチンコもしごけねえことなんだよ
おかげで溜まって溜まって仕方ねえ…ってことで天使さん…」
\M[ミカ恥]:name[ミカ,Actor1]
「……まぁ…言いたいことはわかるけど…
それでハイ分かりました！とか言うわけないよね？
はぁ…一体どういう神経してたらそんな提案ができるんだか…」
:name[作業員,Actor1]
「まぁそりゃそうか。だったら仕方ねえから…おらっ！」",,,,,,,,,,,,,,,,,,,,,,
スラム前テント4の2,"\M[ミカ驚き]:name[ミカ,Actor1]
「うわっ…！？わっ…あ…あぁ…？」
\M[ミカ発情]:name[ミカ,Actor1]
「………なんてね♡♡ふふっ…！残念でしたぁ～♡
そんなショッボい催眠アイテム、
上級天使になった私には効きませ～ん♡♡」
:name[作業員,Actor1]
「うげっ…！？ま、まじかよぉっ…！
こ、こりゃあヤベえ…！わ、悪気はなかったんだ…！
ほんのいたずらのつもりで…なっ?」
",,,,,,,,,,,,,,,,,,,,,,
スラム前テント4の3,":name[作業員,Actor1] 
「ひぃぃっ…もっ…勘弁してくれぇ…！ 
さ、流石にもう出ねえよぉ…！」 
\M[ミカ不満]:name[ミカ,Actor1] 
「えぇ～…ま、しょうがないかぁ…♡それに私も結構満足したしぃ…♡ 
じゃあねおっさん、これからはこういう悪い事しちゃダメだから…ね♡」 
:name[作業員,Actor1]「は、はひぃぃ～……」",,,,,,,,,,,,,,,,,,,,,,
スラム前テント1の3,"\M[ミカ驚き]:name[ミカ,Actor1]
「………はっ！？わ、私は一体何を…？
ええっと…確かおじさんと話してて…ん…？あれ…？」
:name[作業員,Actor1]
「おいおいおい、どうした天使さんよぉ？
話してる途中、急に黙りこくったと思ったらそのままぼーっとし始めちまって…
大丈夫か？なんか悩みでもあるんじゃねえのか？」
\M[ミカ不満]:name[ミカ,Actor1]
「えぇ～…そんな事なってたの私…？
う～ん、悩み、はまぁなくもないけど…そこまで悩んでるわけじゃないしなぁ…」
:name[作業員,Actor1]
「心当たりがねえってなると、発掘現場で掘り出されてるマジックアイテムの
魔力に当てられたのかもしれねえなぁ
ま、何にせよ今日は風呂にでも入ってさっさと寝ちまいなよ」
:name[作業員,Actor1]
（はやく洗い流さねえと妊娠しちまうかもしれねえしな）
\M[ミカ笑顔]:name[ミカ,Actor1]
「そうだね、そうするよ！おじさん心配してくれてありがとね！」",,,,,,,,,,,,,,,,,,,,,,
スラム前テント2の1,":name[作業員,Actor1]
「ああ、そこのベットを使いたいなら使ってくれてもいいぜ
まぁ…こんな所で無防備に寝てる女の子がいたら
手を出さねえ自信はねえし、止めといた方がいいとは思うけどよ…」
\M[ミカ恥怒り]:name[ミカ,Actor1]
「最悪…！絶対に寝ないからね！」
:name[作業員,Actor1]
「だからオススメしねえっていってるだろ…」",,,,,,,,,,,,,,,,,,,,,,
スラム前テント2の2,"name[作業員,Actor1]
「ああ、そこのベットを使いたいなら使ってくれてもいいぜ
まぁ…こんな所で無防備に寝てる女の子がいたら
手を出さねえ自信はねえし、止めといた方がいいとは思うけどよ…」
\M[ミカ発情]:name[ミカ,Actor1]
「ふぅ～ん…♡なるほどぉ…♡♡」
:name[作業員,Actor1]
「……や、やっぱさっきのナシ！アンタを相手にすると、
干からびるまで絞られちまいそうだ…！」",,,,,,,,,,,,,,,,,,,,,,
街中左下民家1の1,":name[女性,Actor1]
「女の一人暮らしって気ままでいいんだけど、
防犯面が不安なのよねぇ
特に最近は治安も悪くなってきてるし…」
",,,,,,,,,,,,,,,,,,,,,,
街中左下2民家1の1,":name[青年,Actor1]
「我が家は床下冷房完備！なんと床下に水路を通してるのさ
工賃は高くついたけど、おかげでひんやりしていて過ごしやすいし気持ちいいんだ
良ければ寝そべってみなよ。冷たさを実感できるぜ」
\M[ミカ笑顔]:name[ミカ,Actor1]
「それじゃあ失礼して…うわっ！本当だ！
床がすっごいひんやりしてて涼し～い…！
いいなぁ…私もこんな家に住んでみたい…」
:name[青年,Actor1]
「へへっ…隙ありっ！」
\M[ミカ驚き]:name[ミカ,Actor1]
「へっ？きゃぁっ！？！？」",,,,,,,,,,,,,,,,,,,,,,
街中左下2民家1の2,"\M[ミカ恥怒り]:name[ミカ,Actor1]
「はぁっ…！はぁぁっ…！！な、何するのっ…！」
:name[青年,Actor1]
「へへっ、人の家で無防備に寝そべるのが悪いんだぜ
それもまぁあんなにお尻をつき出しちゃって
そりゃあ犯さざるをえないってば」
\M[ミカ恥怒り]:name[ミカ,Actor1]
「だからって犯して良い理由にはならないでしょ…！
ううっ…な、膣内にねちょねちょした感覚がぁ…
ぜ、絶対に衛兵にいいつけてやるんだから！」
:name[青年,Actor1]
「好きにすればいいんじゃない？ま、男の家に勝手に上がり込んで、
そこでお尻を突き出してた天使が「犯された！」なんて…
僕が衛兵なら同意あっての性行為だとみなすけどね」
\M[ミカ怒り]:name[ミカ,Actor1]
「うぐぐっ…お、覚えてなよ…！
そのうち絶対痛い目を見せてやるんだから…！！」",,,,,,,,,,,,,,,,,,,,,,
街中左下2民家2の1,":name[青年,Actor1]
「我が家は床下冷房完備！なんと床下に水路を通してるのさ
工賃は高くついたけど、おかげでひんやりしていて過ごしやすいし気持ちいいんだ
良ければ寝そべってみなよ。冷たさを実感できるぜ」
\M[ミカ笑顔]:name[ミカ,Actor1]
「それじゃあ失礼して…うわっ！本当だ！
床がすっごいひんやりしてて涼し～い…！
いいなぁ…私もこんな家に住んでみたい…」
\M[ミカ発情]:name[ミカ,Actor1]
「そしてぇ…ふふっ…♡♡ひんやりした床の上で
逞しいおちんぽ突っ込まれてぇ…♡
潰れたカエルみたいにアクメきめたいなぁ～って…♡♡」
:name[青年,Actor1]
「へへへっ…！ずいぶん誘うじゃねえか…！
それなら早速…！」
\M[ミカ驚き]:name[ミカ,Actor1]
「きゃぁあ～っ♡♡♡」",,,,,,,,,,,,,,,,,,,,,,
街中左下2民家2の2,"\M[ミカイキ顔2]:name[ミカ,Actor1]
「お゛っ♡♡おヒッ…♡♡♡す、凄かったぁっ…♡♡♡」
:name[青年,Actor1]
「ふぃぃ…！人の家で馬鹿みたいにマンコ広げやがって…！
まぁでもこれで懲りただろっ…！へへへ…！」",,,,,,,,,,,,,,,,,,,,,,
街中左下2民家本棚,":bg[dim]:layout[center]
　　　　　　　　クランプフォールにサキュバス現る！被害甚大か
　　　　　　　　　　　　　　　　　　　　　　　　　　世界観光新聞
:page沼地の崖を切り開いて作られた、岸壁カジノが有名な街クランプフォールにて、
ここ最近、サキュバスによる性被害が多発している。
:page被害者には男性である事以外に共通点はないが、その分見境がなく、
さらには家畜すらも搾精されたと思わしき症状が出ており、
その被害範囲は計り知れない。
:page現地当局の調査によると、犯人は金髪と紫髪の淫魔二人組であるとのことだが、
捜査員が搾精されてしまうなど、捜査状況は芳しくない様子だ。
:pageサキュバスによる搾精は、魔族との和睦以降命にかかわることこそ無いものの、
過剰な搾精の影響で被虐趣味に目覚めてしまうなど、重篤な後遺症を引き起こす可能性がある。
何れにせよ、現地はまだまだ予断を許さない状況だ。
:pageクランプフォール在住の男性諸氏におかれては、くれぐれも自衛に努め
軽率な性行為を控えるようにしていただきたい。",,,,,,,,,,,,,,,,,,,,,,
聖堂街クリア後石像1,":bg[dim]:layout[center]
　　　　　　　　　　　　　ダールシカ守護天使、ミカエル様の像",,,,,,,,,,,,,,,,,,,,,,
聖堂街クリア後石像2,"\M[ミカ引き]:name[ミカ,Actor1]
「わ、私の像…！？そ、そういえばなんか建てるとか言ってた気がする…」
\M[ミカ恥]:name[ミカ,Actor1]
「…にしたって裸なのは…ま、まぁ…♡悪くはないし…いいかな…♡」",,,,,,,,,,,,,,,,,,,,,,
占い師1の1,":name[ドロシー,Actor1]
「あら、天使のお客様は珍しいわね
ふふ、ようこそ占いの館へ。私は占い師のドロシーよ」
\M[ミカ引き笑い]:name[ミカ,Actor1]
「あ、ど、どうも…」
\M[ミカ引き笑い]:name[ミカ,Actor1]
（い、いかにも占い師って感じの女の人だぁ…
っていうかおっぱい滅茶苦茶おっき…いや本当に大きい…！
フレイア様が見たら憤死しちゃいそう…）
:name[ドロシー,Actor1]
「……あら？そんなに胸ばかり見て…もしかして”そういうの”がお好みだったり？
うふふ…♡そういうことなら…」
\M[ミカ恥]:name[ミカ,Actor1]
「へっ！？あ、いや…そんなことはないです…！！
あ、あまりにも大きいのでつい…」
\M[ミカ驚き]:name[ミカ,Actor1]
「じゃなかったっ…ええっと…！そ、そのっ！ここって占いのお店なんですよね？
ええっと、実は今困ってることというか…
色々と探さなきゃいけない物がありましてぇ…」
",,,,,,,,,,,,,,,,,,,,,,
